category	original_path	archive_target	csv_count	size_gib
category3	outputs/mechanism_search	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/mechanism_search_20260329.rar	426	94.46
category3	outputs/lv3_confirm	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/lv3_confirm_20260329.rar	128	39.02
category3	outputs/lv3_escape	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/lv3_escape_20260329.rar	135	37.41
category3	outputs/hopf_candidates	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/hopf_candidates_20260329.rar	160	35.48
category3	outputs/hopf_bcenter_skew_expected_20260326_235001	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/hopf_bcenter_skew_expected_20260326_235001.rar	66	14.64
category3	outputs/hopf_grid2d_expected_b_center_20260326_222923	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/hopf_grid2d_expected_b_center_20260326_222923.rar	54	11.97
category3	outputs/hopf_grid2d_expected_b_center_20260326_223100	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/hopf_grid2d_expected_b_center_20260326_223100.rar	54	11.97
category3	outputs/hopf_bline_20260326_205317	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/hopf_bline_20260326_205317.rar	30	6.65
category3	outputs/lv3_coarse_20260325_133508	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/lv3_coarse_20260325_133508.rar	90	14.97
category3	outputs/lv3_verify_20260325_201428	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/lv3_verify_20260325_201428.rar	32	6.35
category3	outputs/lv3_verify_20260326_081955	E:/User/personality-dungeon_cloud/outputs_csv_move_20260329/category3_rar/lv3_verify_20260326_081955.rar	41	8.37